,regional_mobility,is_high_user,avg_consume_less_12_valid_month,reg_preference_for_trad,status,low_volume_percent,middle_volume_percent,take_amount_in_later_12_month_highest,trans_amount_increase_rate_lately,trans_activity_month,trans_activity_day,transd_mcc,trans_days_interval_filter,trans_days_interval,repayment_capability,number_of_trans_from_2011,historical_trans_amount,historical_trans_day,rank_trad_1_month,trans_amount_3_month,abs,top_trans_count_last_1_month,avg_price_last_12_month,avg_price_top_last_12_valid_month,trans_top_time_last_1_month,trans_top_time_last_6_month,consume_top_time_last_1_month,consume_top_time_last_6_month,cross_consume_count_last_1_month,trans_fail_top_count_enum_last_1_month,trans_fail_top_count_enum_last_6_month,trans_fail_top_count_enum_last_12_month,consume_mini_time_last_1_month,max_cumulative_consume_later_1_month,max_consume_count_later_6_month,railway_consume_count_last_12_month,pawns_auctions_trusts_consume_last_1_month,pawns_auctions_trusts_consume_last_6_month,jewelry_consume_count_last_6_month,trans_day_last_12_month,apply_score,apply_credibility,query_org_count,query_finance_count,query_cash_count,query_sum_count,latest_one_month_apply,latest_three_month_apply,latest_six_month_apply,loans_score,loans_credibility_behavior,loans_count,loans_settle_count,loans_overdue_count,loans_org_count_behavior,consfin_org_count_behavior,loans_cash_count,latest_one_month_loan,latest_three_month_loan,latest_six_month_loan,history_suc_fee,history_fail_fee,latest_one_month_suc,latest_one_month_fail,loans_long_time,loans_credit_limit,loans_credibility_limit,loans_org_count_current,loans_product_count,loans_max_limit,loans_avg_limit,consfin_credit_limit,consfin_credibility,consfin_org_count_current,consfin_product_count,consfin_max_limit,consfin_avg_limit,latest_query_day,first_transaction_day_re,active_day
10,2.0,0,5.0,0.0,1,0.01,0.99,0.0,2.48,0.94,0.322,16.0,29.0,21.0,15010.0,29.0,244020.0,174.0,0.75,3420.0,3690.0,0.65,1310.0,0.45,2.0,29.0,3.0,46.0,0.0,1.0,3.0,7.0,285140.0,290.0,5.0,0.0,0.0,1400.0,0.0,83.0,546.0,72.0,5.0,2.0,2.0,6.0,4.0,5.0,5.0,501.0,78.0,19.0,10.0,3.0,11.0,7.0,4.0,1.0,1.0,6.0,11.0,19.0,1.0,0.0,319.0,1500.0,77.0,4.0,5.0,1800.0,1325.0,9900.0,80.0,7.0,8.0,20400.0,7757.0,12.0,997.0,9.0
11,1.0,0,7.0,0.0,0,0.01,0.99,500.0,0.72,0.63,0.45,17.0,15.0,11.0,14790.0,26.0,199850.0,193.0,0.45,36800.0,22850.0,0.3,1420.0,0.45,12.0,15.0,12.0,15.0,0.0,0.0,2.0,2.0,1066039.0,960.0,5.0,0.0,0.0,20950.0,0.0,83.0,656.0,81.0,10.0,5.0,4.0,13.0,0.0,4.0,11.0,637.0,75.0,32.0,32.0,0.0,11.0,3.0,8.0,0.0,1.0,9.0,34.0,3.0,1.0,0.0,360.0,2800.0,73.0,8.0,9.0,3900.0,2450.0,8300.0,85.0,3.0,3.0,13200.0,9400.0,31.0,1289.0,31.0
12,4.0,0,7.0,1.0,0,0.0,0.73,5000.0,0.09,0.7,0.6970000000000001,28.0,12.0,13.0,129900.0,43.0,717280.0,497.0,0.1,82680.0,269120.0,0.05,1800.0,0.45,6.0,12.0,6.0,12.0,4.0,2.0,4.0,5.0,2.0,8900.0,15.0,0.0,10000.0,67530.0,0.0,82.0,594.0,74.0,9.0,5.0,4.0,13.0,0.0,7.0,10.0,575.0,77.0,32.0,28.0,2.0,17.0,7.0,10.0,5.0,7.0,10.0,34.0,6.0,2.0,3.0,352.0,2000.0,74.0,10.0,10.0,3500.0,2000.0,19300.0,79.0,7.0,8.0,42000.0,16985.0,38.0,1916.0,6.0
13,1.0,0,7.0,0.0,0,0.01,0.79,0.0,1.24,1.0,0.447,16.0,19.0,13.0,31010.0,31.0,336460.0,302.0,0.7,47010.0,560.0,0.15,1360.0,0.5,19.0,19.0,19.0,19.0,0.0,3.0,3.0,4.0,36538.0,260.0,5.0,0.0,0.0,11820.0,0.0,83.0,546.0,72.0,24.0,10.0,9.0,33.0,10.0,13.0,21.0,511.0,76.0,44.0,42.0,2.0,20.0,5.0,15.0,3.0,5.0,21.0,52.0,14.0,5.0,0.0,342.0,2300.0,75.0,15.0,17.0,9300.0,2240.0,5000.0,83.0,5.0,7.0,11400.0,5460.0,13.0,1004.0,9.0
14,4.0,0,9.0,0.0,1,0.01,0.89,4000.0,0.07,1.0,0.233,17.0,32.0,18.0,13740.0,14.0,96840.0,91.0,0.3,10720.0,3030.0,0.15,1180.0,0.5,13.0,32.0,13.0,32.0,1.0,0.0,1.0,1.0,104054.0,2000.0,4.0,0.0,200.0,20120.0,0.0,82.0,611.0,73.0,7.0,5.0,1.0,7.0,4.0,6.0,6.0,585.0,73.0,5.0,4.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,358.0,1800.0,73.0,3.0,3.0,2000.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,503.0,16.0
15,4.0,0,6.0,0.0,1,0.01,0.99,0.0,1.13,0.76,0.48,20.0,16.0,17.0,22310.0,26.0,382850.0,246.0,0.5,27150.0,9540.0,0.65,1260.0,0.5,16.0,16.0,16.0,16.0,0.0,5.0,5.0,5.0,0.0,1530.0,4.0,0.0,0.0,27700.0,0.0,83.0,538.0,77.0,12.0,5.0,6.0,14.0,5.0,9.0,10.0,485.0,79.0,34.0,25.0,3.0,12.0,9.0,3.0,1.0,3.0,12.0,49.0,30.0,0.0,1.0,339.0,3000.0,73.0,3.0,3.0,4100.0,2633.0,18400.0,79.0,9.0,11.0,33600.0,17633.0,4.0,1203.0,4.0
16,3.0,0,8.0,4.0,1,0.02,0.98,0.0,0.21,1.0,0.247,13.0,50.0,15.0,4580.0,27.0,653590.0,221.0,0.3,14300.0,17300.0,0.15,1260.0,0.5,6.0,21.0,6.0,21.0,0.0,2.0,8.0,8.0,33.0,3340.0,3.0,0.0,2870.0,7520.0,0.0,89.0,540.0,80.0,13.0,7.0,3.0,17.0,6.0,11.0,16.0,541.0,74.0,36.0,27.0,2.0,9.0,4.0,5.0,1.0,5.0,18.0,44.0,31.0,0.0,1.0,356.0,2800.0,72.0,5.0,5.0,4500.0,2480.0,21300.0,77.0,4.0,4.0,27600.0,9900.0,3.0,886.0,1.0
17,4.0,0,7.0,0.0,0,0.02,0.98,300.0,0.6,0.43,0.355,19.0,19.0,14.0,6480.0,22.0,201360.0,189.0,0.5,7110.0,910.0,0.3,910.0,0.55,11.0,19.0,11.0,19.0,0.0,2.0,2.0,3.0,0.0,1040.0,2.0,0.0,1070.0,5420.0,0.0,89.0,645.0,78.0,11.0,6.0,3.0,18.0,2.0,8.0,14.0,615.0,77.0,31.0,27.0,0.0,16.0,8.0,8.0,1.0,2.0,8.0,35.0,10.0,3.0,0.0,360.0,1700.0,74.0,8.0,9.0,2000.0,1575.0,4700.0,80.0,8.0,10.0,6600.0,4062.0,9.0,1597.0,7.0
18,3.0,0,6.0,4.0,0,0.01,0.99,2000.0,0.87,1.0,0.377,15.0,62.0,17.0,39920.0,17.0,94340.0,181.0,0.55,21660.0,33970.0,0.4,1080.0,0.55,12.0,20.0,12.0,20.0,0.0,1.0,5.0,12.0,0.0,1390.0,2.0,0.0,0.0,0.0,0.0,84.0,532.0,78.0,6.0,5.0,1.0,7.0,1.0,3.0,6.0,494.0,74.0,28.0,21.0,2.0,10.0,4.0,6.0,0.0,1.0,12.0,24.0,23.0,0.0,0.0,307.0,3500.0,74.0,6.0,6.0,5000.0,2533.0,10100.0,78.0,4.0,4.0,15600.0,10275.0,26.0,566.0,26.0
19,3.0,0,8.0,0.0,1,0.01,0.96,0.0,1.37,0.51,0.486,18.0,21.0,15.0,18710.0,29.0,296600.0,201.0,0.2,36640.0,640.0,0.05,1240.0,0.5,4.0,9.0,4.0,9.0,1.0,3.0,12.0,12.0,83595.0,2040.0,7.0,0.0,0.0,22780.0,0.0,82.0,536.0,75.0,20.0,11.0,5.0,28.0,7.0,14.0,17.0,484.0,75.0,96.0,72.0,9.0,29.0,8.0,21.0,0.0,3.0,37.0,92.0,90.0,0.0,0.0,360.0,2300.0,74.0,21.0,22.0,6200.0,1957.0,10100.0,79.0,8.0,9.0,20400.0,8187.0,12.0,1789.0,12.0
20,3.0,0,5.0,0.0,1,0.02,0.98,300.0,0.11,1.0,0.22899999999999998,11.0,20.0,18.0,13690.0,8.0,46180.0,55.0,0.45,5650.0,3200.0,0.15,820.0,0.6,10.0,20.0,10.0,20.0,2.0,0.0,3.0,3.0,773711.0,1640.0,3.0,0.0,1190.0,17150.0,0.0,82.0,515.0,82.0,5.0,3.0,1.0,5.0,3.0,4.0,5.0,489.0,75.0,7.0,3.0,4.0,2.0,1.0,1.0,0.0,1.0,2.0,6.0,18.0,0.0,0.0,346.0,500.0,79.0,1.0,2.0,500.0,500.0,8400.0,74.0,1.0,1.0,8400.0,8400.0,3.0,290.0,3.0
21,3.0,0,7.0,0.0,0,0.02,0.98,0.0,0.43,0.66,0.369,15.0,72.0,41.0,16770.0,29.0,135500.0,161.0,0.55,16210.0,3290.0,0.15,670.0,0.65,10.0,72.0,10.0,72.0,0.0,0.0,5.0,5.0,0.0,1000.0,9.0,0.0,560.0,12310.0,0.0,84.0,528.0,75.0,7.0,2.0,4.0,7.0,1.0,1.0,4.0,499.0,73.0,26.0,25.0,3.0,11.0,2.0,9.0,1.0,1.0,3.0,28.0,12.0,1.0,0.0,348.0,1600.0,73.0,9.0,9.0,2400.0,1633.0,16500.0,76.0,2.0,3.0,32400.0,18600.0,7.0,1401.0,7.0
22,4.0,0,9.0,4.0,0,0.0,0.59,0.0,3.48,0.92,0.255,19.0,229.0,19.0,29010.0,36.0,1459540.0,228.0,0.1,85280.0,27980.0,0.1,3340.0,0.3,14.0,27.0,14.0,27.0,2.0,0.0,7.0,15.0,237.0,10050.0,4.0,0.0,0.0,0.0,0.0,82.0,492.0,76.0,14.0,6.0,4.0,23.0,13.0,16.0,19.0,471.0,77.0,40.0,30.0,2.0,21.0,11.0,10.0,3.0,5.0,14.0,39.0,22.0,2.0,2.0,350.0,2700.0,74.0,10.0,10.0,9000.0,3080.0,21900.0,79.0,11.0,11.0,39600.0,20454.0,4.0,1228.0,1.0
23,3.0,0,8.0,1.0,0,0.01,0.99,2400.0,1.71,0.57,0.38799999999999996,18.0,16.0,13.0,1900.0,24.0,169240.0,175.0,0.1,53760.0,6450.0,0.05,1080.0,0.5,10.0,13.0,10.0,13.0,2.0,1.0,3.0,4.0,4252.0,4900.0,4.0,0.0,840.0,6050.0,0.0,82.0,597.0,80.0,12.0,4.0,5.0,16.0,5.0,5.0,10.0,532.0,77.0,24.0,18.0,2.0,10.0,6.0,4.0,1.0,9.0,15.0,27.0,17.0,0.0,2.0,358.0,2600.0,72.0,4.0,4.0,3500.0,1900.0,8100.0,80.0,6.0,7.0,14400.0,6100.0,12.0,1329.0,9.0
24,3.0,0,7.0,0.0,0,0.02,0.78,2500.0,1.9,0.83,0.336,23.0,20.0,15.0,15800.0,71.0,202730.0,311.0,0.3,30640.0,1890.0,0.3,1480.0,0.45,7.0,20.0,7.0,20.0,0.0,2.0,7.0,7.0,499325.0,2950.0,3.0,0.0,0.0,16580.0,0.0,84.0,617.0,76.0,5.0,4.0,1.0,7.0,2.0,3.0,6.0,587.0,73.0,6.0,5.0,0.0,5.0,3.0,2.0,0.0,0.0,3.0,11.0,7.0,0.0,0.0,349.0,900.0,71.0,2.0,2.0,1000.0,750.0,14000.0,75.0,3.0,3.0,31200.0,15500.0,14.0,2668.0,14.0
25,3.0,0,7.0,4.0,1,0.4,0.6,0.0,1.46,0.69,0.375,9.0,23.0,23.0,9740.0,33.0,52040.0,277.0,0.65,5860.0,9090.0,0.65,150.0,0.9,0.0,23.0,0.0,23.0,0.0,0.0,2.0,7.0,2169.0,840.0,12.0,0.0,0.0,0.0,0.0,93.0,519.0,82.0,10.0,6.0,3.0,16.0,2.0,3.0,10.0,474.0,79.0,55.0,37.0,9.0,22.0,12.0,10.0,0.0,1.0,21.0,66.0,56.0,1.0,0.0,349.0,1900.0,79.0,10.0,11.0,5000.0,1560.0,10400.0,78.0,12.0,14.0,42600.0,9841.0,21.0,1511.0,21.0
26,3.0,0,5.0,0.0,0,0.02,0.96,0.0,12.35,0.96,0.444,20.0,13.0,12.0,290.0,27.0,315770.0,269.0,0.1,46970.0,2000.0,0.05,940.0,0.55,4.0,13.0,4.0,13.0,3.0,1.0,2.0,3.0,155.0,4970.0,12.0,0.0,750.0,18750.0,0.0,82.0,531.0,74.0,5.0,4.0,1.0,5.0,1.0,5.0,5.0,493.0,74.0,13.0,12.0,2.0,9.0,2.0,7.0,0.0,1.0,3.0,14.0,3.0,0.0,0.0,340.0,1700.0,73.0,7.0,8.0,2500.0,1671.0,6500.0,77.0,2.0,2.0,8100.0,7050.0,10.0,899.0,10.0
27,3.0,0,8.0,1.0,0,0.01,0.91,2000.0,46.9,0.69,0.263,19.0,42.0,42.0,4010.0,22.0,188420.0,125.0,0.25,45740.0,580.0,0.05,1490.0,0.55,10.0,11.0,10.0,11.0,0.0,1.0,1.0,5.0,167534.0,2180.0,9.0,0.0,2020.0,20780.0,0.0,82.0,654.0,74.0,15.0,4.0,8.0,21.0,7.0,12.0,16.0,636.0,76.0,38.0,37.0,0.0,18.0,13.0,5.0,7.0,14.0,21.0,46.0,2.0,9.0,0.0,301.0,3000.0,74.0,5.0,5.0,5700.0,3160.0,7000.0,78.0,13.0,15.0,13200.0,6461.0,20.0,1033.0,6.0
28,3.0,0,7.0,0.0,0,0.01,0.99,3000.0,0.91,0.93,0.305,21.0,17.0,14.0,17150.0,13.0,159920.0,113.0,0.55,30300.0,9310.0,0.4,1350.0,0.4,7.0,12.0,7.0,12.0,0.0,4.0,8.0,8.0,0.0,1300.0,4.0,0.0,1300.0,11390.0,0.0,82.0,543.0,71.0,10.0,6.0,3.0,16.0,5.0,6.0,6.0,506.0,73.0,45.0,44.0,2.0,13.0,1.0,12.0,1.0,3.0,13.0,52.0,19.0,1.0,0.0,321.0,1900.0,72.0,12.0,13.0,2700.0,1825.0,21600.0,78.0,1.0,1.0,21600.0,21600.0,5.0,481.0,5.0
29,4.0,0,8.0,0.0,0,0.02,0.64,1500.0,1.02,0.44,0.21100000000000002,15.0,38.0,25.0,20380.0,31.0,150980.0,105.0,0.7,6300.0,9770.0,0.3,1340.0,0.4,22.0,38.0,22.0,38.0,0.0,2.0,2.0,4.0,100339.0,400.0,4.0,0.0,0.0,44110.0,0.0,83.0,549.0,76.0,11.0,5.0,3.0,15.0,3.0,7.0,10.0,630.0,80.0,13.0,10.0,0.0,2.0,1.0,1.0,0.0,4.0,6.0,11.0,8.0,0.0,0.0,313.0,2000.0,81.0,1.0,2.0,2000.0,2000.0,3000.0,79.0,1.0,1.0,3000.0,3000.0,14.0,2178.0,34.0
30,4.0,0,8.0,1.0,0,0.02,0.93,0.0,0.7,0.53,0.441,25.0,39.0,23.0,13600.0,26.0,235840.0,183.0,0.2,58330.0,18060.0,0.05,970.0,0.55,16.0,16.0,16.0,16.0,4.0,0.0,4.0,8.0,25.0,7430.0,7.0,0.0,1590.0,15970.0,0.0,85.0,636.0,80.0,9.0,4.0,3.0,14.0,0.0,0.0,3.0,609.0,75.0,27.0,27.0,0.0,14.0,8.0,6.0,0.0,1.0,14.0,45.0,6.0,0.0,0.0,345.0,1000.0,71.0,6.0,6.0,1500.0,1050.0,9200.0,76.0,8.0,9.0,19800.0,8250.0,152.0,1543.0,64.0
31,2.0,0,3.0,0.0,0,0.02,0.98,0.0,0.38,0.43,0.052000000000000005,7.0,62.0,77.0,11130.0,12.0,60530.0,20.0,0.95,1540.0,520.0,1.0,1230.0,0.5,0.0,62.0,0.0,62.0,0.0,3.0,10.0,10.0,0.0,110.0,1.0,0.0,0.0,0.0,0.0,107.0,620.0,73.0,6.0,2.0,3.0,6.0,2.0,5.0,6.0,575.0,76.0,3.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,230.0,1700.0,71.0,1.0,1.0,1700.0,1700.0,18000.0,78.0,1.0,1.0,18000.0,18000.0,10.0,964.0,10.0
32,3.0,0,7.0,0.0,0,0.02,0.97,0.0,1.33,0.81,0.513,21.0,22.0,21.0,28960.0,21.0,334670.0,202.0,0.6,56050.0,2000.0,0.3,1100.0,0.5,9.0,22.0,9.0,22.0,0.0,1.0,6.0,6.0,7.0,1150.0,10.0,0.0,1150.0,23470.0,0.0,82.0,606.0,74.0,19.0,11.0,6.0,28.0,2.0,13.0,16.0,572.0,76.0,60.0,55.0,3.0,21.0,8.0,13.0,1.0,3.0,18.0,70.0,19.0,1.0,0.0,335.0,2100.0,76.0,13.0,14.0,2800.0,1892.0,37100.0,77.0,8.0,8.0,64800.0,14400.0,22.0,849.0,5.0
33,1.0,0,6.0,0.0,0,0.01,0.99,200.0,0.23,0.51,0.23,17.0,65.0,22.0,12260.0,20.0,93290.0,92.0,0.3,24050.0,4020.0,0.1,1000.0,0.55,7.0,14.0,7.0,14.0,1.0,0.0,2.0,2.0,1236.0,2620.0,6.0,0.0,1440.0,17600.0,0.0,86.0,653.0,80.0,8.0,4.0,2.0,14.0,4.0,4.0,7.0,629.0,78.0,14.0,12.0,0.0,7.0,5.0,2.0,0.0,0.0,5.0,32.0,2.0,1.0,0.0,337.0,2100.0,77.0,2.0,2.0,2300.0,1950.0,12900.0,79.0,5.0,5.0,20700.0,10100.0,13.0,1374.0,13.0
34,3.0,0,7.0,0.0,0,0.01,0.98,0.0,1.77,0.93,0.688,21.0,8.0,5.0,14850.0,28.0,588190.0,437.0,0.1,93980.0,19710.0,0.05,1300.0,0.45,8.0,8.0,8.0,8.0,2.0,3.0,5.0,5.0,97.0,5820.0,6.0,0.0,4190.0,45490.0,0.0,82.0,513.0,76.0,17.0,10.0,5.0,24.0,5.0,16.0,23.0,493.0,76.0,45.0,39.0,1.0,10.0,5.0,5.0,2.0,6.0,18.0,86.0,20.0,2.0,3.0,360.0,2400.0,72.0,5.0,6.0,3400.0,2080.0,15800.0,80.0,5.0,6.0,21600.0,11280.0,14.0,960.0,7.0
35,4.0,0,5.0,0.0,1,0.02,0.67,2000.0,0.89,0.69,0.45399999999999996,19.0,10.0,10.0,9880.0,38.0,465410.0,255.0,1.0,33820.0,1920.0,1.0,1240.0,0.5,0.0,10.0,0.0,10.0,0.0,6.0,6.0,6.0,0.0,0.0,12.0,0.0,0.0,11610.0,0.0,130.0,512.0,74.0,5.0,2.0,1.0,6.0,2.0,2.0,5.0,483.0,75.0,64.0,44.0,11.0,16.0,6.0,10.0,0.0,4.0,25.0,83.0,132.0,0.0,0.0,358.0,3300.0,70.0,10.0,10.0,6500.0,2520.0,8600.0,78.0,6.0,7.0,13200.0,7700.0,23.0,1754.0,23.0
36,4.0,0,8.0,0.0,0,0.01,0.93,1500.0,1.7,0.55,0.25,21.0,24.0,17.0,6750.0,36.0,140630.0,147.0,0.3,17790.0,3040.0,0.1,1430.0,0.45,5.0,16.0,5.0,16.0,0.0,1.0,2.0,4.0,938.0,2150.0,5.0,0.0,760.0,3230.0,0.0,86.0,640.0,79.0,5.0,4.0,1.0,6.0,1.0,4.0,5.0,618.0,77.0,24.0,21.0,0.0,8.0,3.0,5.0,1.0,4.0,8.0,25.0,5.0,3.0,0.0,358.0,2300.0,77.0,5.0,5.0,3100.0,2160.0,13500.0,77.0,3.0,3.0,27000.0,17500.0,22.0,2051.0,5.0
